
Episode 500 finished after 391 time steps with total reward = -9758.00, explorations = 67, exploitations = 302, last epsilon used = 0.6432507594921204.
Episode 600 finished after 233 time steps with total reward = -9818.00, explorations = 11, exploitations = 206, last epsilon used = 0.05.
Episode 700 finished after 365 time steps with total reward = -9761.00, explorations = 41, exploitations = 301, last epsilon used = 0.5486469074854965.
Episode 800 finished after 333 time steps with total reward = -9762.00, explorations = 26, exploitations = 286, last epsilon used = 0.5014029397595902.
Episode 900 finished after 377 time steps with total reward = -9758.00, explorations = 46, exploitations = 309, last epsilon used = 0.46283472370715234.
Episode 0 finished after 358 time steps with total reward = -9765.00, explorations = 39, exploitations = 303, last epsilon used = 1.
Episode 100 finished after 313 time steps with total reward = -9762.00, explorations = 28, exploitations = 278, last epsilon used = 0.9138900318559524.
Episode 200 finished after 355 time steps with total reward = -9764.00, explorations = 40, exploitations = 295, last epsilon used = 0.8393835224925505.
Episode 300 finished after 70 time steps with total reward = -9963.00, explorations = 5, exploitations = 54, last epsilon used = 0.05.
Episode 400 finished after 316 time steps with total reward = -9765.00, explorations = 22, exploitations = 288, last epsilon used = 0.7010489129476946.
Episode 500 finished after 306 time steps with total reward = -9765.00, explorations = 21, exploitations = 275, last epsilon used = 0.6419649012238956.
Episode 600 finished after 342 time steps with total reward = -9760.00, explorations = 25, exploitations = 300, last epsilon used = 0.5919919898800042.
Episode 700 finished after 344 time steps with total reward = -9765.00, explorations = 16, exploitations = 306, last epsilon used = 0.5459091539334175.
Episode 800 finished after 311 time steps with total reward = -9766.00, explorations = 20, exploitations = 283, last epsilon used = 0.5009015368198305.
Episode 900 finished after 321 time steps with total reward = -9765.00, explorations = 12, exploitations = 297, last epsilon used = 0.45822714858955943.
Episode 0 finished after 332 time steps with total reward = -9759.00, explorations = 30, exploitations = 293, last epsilon used = 1.
Episode 100 finished after 58 time steps with total reward = -9967.00, explorations = 5, exploitations = 42, last epsilon used = 0.05.
Episode 200 finished after 230 time steps with total reward = -9847.00, explorations = 16, exploitations = 197, last epsilon used = 0.05.
Episode 300 finished after 297 time steps with total reward = -9757.00, explorations = 16, exploitations = 276, last epsilon used = 0.7896874231428072.
Episode 400 finished after 242 time steps with total reward = -9848.00, explorations = 12, exploitations = 210, last epsilon used = 0.05.
Episode 500 finished after 370 time steps with total reward = -9762.00, explorations = 43, exploitations = 306, last epsilon used = 0.6668416716372578.
Episode 600 finished after 292 time steps with total reward = -9760.00, explorations = 19, exploitations = 266, last epsilon used = 0.6094199565354498.
Episode 700 finished after 296 time steps with total reward = -9761.00, explorations = 18, exploitations = 265, last epsilon used = 0.5569428234918348.
Episode 800 finished after 354 time steps with total reward = -9764.00, explorations = 30, exploitations = 302, last epsilon used = 0.5069516085956246.
